Symbol,Side,Entry,Exit,PnL,Reason,Opened,Closed
BTC/USDT,SELL,63180.36,63502.01,-1018.2019622880046,Stop Loss,2026-08-04T18:28:04.439068,2026-08-04T18:28:04.441180
BTC/USDT,SELL,63382.01,63704.01,-912.6057764599999,Stop Loss,2026-08-04T18:28:04.451835,2026-08-04T18:28:04.452579
BTC/USDT,BUY,63704.01,63363.99,-861.3860219856102,Stop Loss,2026-08-04T18:28:04.460580,2026-08-04T18:28:04.461596
BTC/USDT,BUY,63542.65,63221.18,-729.3108397355026,Stop Loss,2026-08-04T18:28:04.468423,2026-08-04T18:28:04.469052
BTC/USDT,BUY,63219.31,62870.49,-714.9094468357994,Stop Loss,2026-08-04T18:28:04.480070,2026-08-04T18:28:04.480668
BTC/USDT,SELL,62870.49,63351.09,-881.1768415319973,Stop Loss,2026-08-04T18:28:04.488147,2026-08-04T18:28:04.491178
BTC/USDT,SELL,63320.65,63766.01,-686.8066064016009,Stop Loss,2026-08-04T18:28:04.497926,2026-08-04T18:28:04.498557
BTC/USDT,BUY,63766.01,63399.99,-481.65932662360535,Stop Loss,2026-08-04T18:28:04.504689,2026-08-04T18:28:04.507096
BTC/USDT,SELL,63361.99,63810.0,-525.1992288554025,Stop Loss,2026-08-04T18:28:04.515849,2026-08-04T18:28:04.516538
BTC/USDT,SELL,63772.01,64124.84,-352.8459267461945,Stop Loss,2026-08-04T18:28:04.527679,2026-08-04T18:28:04.528466
BTC/USDT,BUY,64124.84,64364.19,211.70612814000515,Закрытие по последней свече,2026-08-04T18:28:04.535980,2026-08-04T18:28:04.536613
